Count		Words
1		دنیا
1		بھر
47		کی
1		مسلح
2		افواج
44		میں
13		خودکشی
3		کرنے
3		والے
8		فوجیوں
3		تعداد
59		کے
1		حوالے
35		سے
2		بھارت
1		پہلا
1		ملک
1		بن
1		چکاہے
5		
41		۔
22		بھارتی
3		وزارت
4		دفاع
1		اعداد
6		و
1		شمار
2		تحت
2		سب
7		زیادہ
15		فوج
2		رونما
4		ہوتے
30		ہیں
1		جہاں
15		ایک
1		دہائی
1		ہزار
14		فوجی
3		اہلکاروں
9		واقعات
1		منظرعام
17		پر
1		آچکے
1		رحجان
1		2010ء
2		متعلق
1		پارلیمانی
1		کمیٹی
10		نے
5		حکومت
8		کو
13		اس
1		مسئلے
1		حل
4		کیلئے
1		بیرونی
2		ماہرین
1		خدمات
2		لینے
1		صلاح
1		دی
1		تھی
3		لیکن
1		ابھی
5		تک
3		عمل
10		نہیں
11		ہو
1		سکا
1		33
3		نفسیات
1		تقرری
3		تجویز
10		بھی
1		فائلوں
1		پڑی
29		ہے
1		حالت
9		یہ
14		کہ
1		شمال
1		مشرقی
1		ریاستوں
1		چارٹرڈ
1		پروازوں
22		اور
1		ریلوے
1		سفر
1		علاوہ
1		وارنٹ
4		دینے
1		اصولی
2		منظوری
1		باوجود
1		ہوا
1		حالانکہ
1		ہندوستان
2		ہر
2		یونٹ
2		ماہر
1		سہولت
17		کا
1		ہدف
1		مقرر
1		کررکھا
2		اسے
1		مکمل
1		ہونے
1		مزید
2		سال
1		درکار
5		سو
1		کشیدگی
2		وجہ
4		ساتھیوں
3		قتل
1		جیسے
4		اقدامات
1		اٹھا
3		رہے
2		جبکہ
1		بچاؤ
1		نصف
1		درجن
2		زائد
1		تجاویز
1		سرکاری
1		انتظار
1		گزشتہ
1		12
2		برسوں
1		1362
1		تخمینہ
1		لگایا
4		گیا
1		ساتھ
5		ہی
1		2000
1		ء
1		لیکر
1		تاحال
5		اپنے
4		ہاتھوں
2		دوسرے
2		اہلکار
2		زندگیوں
2		خاتمہ
1		نظم
1		ضبط
3		لیے
1		خطرے
1		گھنٹی
1		مبصرین
3		کہنا
3		جنگ
1		تھکان
1		(وار
1		فٹیگ)
4		نفسیاتی
1		تبدیاتیاں
1		جاتی
3		جس
6		وہ
1		جلدی
1		مشتعل
2		جاتے
1		کچھ
4		کر
1		بیٹھتے
1		اعلیٰ
1		پولیس
4		افسر
1		بتایا
2		کسی
1		زدہ
3		علاقے
2		طویل
2		عرصہ
2		تعینات
1		رہنے
2		گھر
2		والوں
1		دوری
1		سبب
1		فورسز
1		چڑچڑے
13		ان
1		پریشانی
2		کم
1		تنخواہیں،
1		بنیادی
1		سہولتوں
1		فقدان
1		بعض
1		اوقات
6		افسروں
3		طرف
1		توہین
1		آمیز
1		سلوک
2		شامل
1		پچھلے
2		چند
2		آپس
1		لڑائی
1		جھگڑوں
1		شدت
1		پیدا
1		گئی
2		مقبوضہ
3		کشمیر
2		جاری
1		مسلسل،
1		تھکا
2		والی
1		ناجائز
2		سخت
6		ذہنی
1		کوفت
1		مبتلا
2		چکے
3		انہیں
1		ترین
1		ڈیوٹی
1		دینا
1		پڑتی
1		لمبے
2		عرصے
1		جانے
1		چھٹی
1		ملتی
1		فائرنگ
1		کرکے
1		موت
1		گھاٹ
1		اتار
3		بعد
1		کئی
3		پیش
1		آئے
1		تاہم
1		آنے
1		منفی
1		خبروں
3		باعث
1		نئے
1		عجوبے
1		جنم
2		لیا
3		اب
1		نئی
1		نسل
2		عسکری
1		شعبے
1		کوئی
1		کشش
1		باقی
4		رہی
1		چنانچہ
1		خصوصاً
2		بری
3		جوانوں
4		کمی
1		واقع
1		حال
4		تو
1		بیشتر
2		یونٹوں
1		دس
3		تا
1		بارہ
1		معمول
6		مطابق
1		22
1		27
1		ہونی
2		چاہیے
1		یاد
1		چھ
1		آٹھ
2		موجود
1		بچے
1		کچھے
1		توجہ
1		دے
1		پاتے
2		درمیان
1		دوریاں
1		بڑھ
1		بڑی
1		خرابی
4		جو
2		پیشہ
2		وارانہ
1		امور
1		یقینا
1		اثرانداز
1		ہوگی
1		ہسپتالوں
1		بیڈ
1		ایسے
1		افراد
1		بھرے
1		پڑے
1		جنہیں
1		کارروائی
1		بچا
1		گویا
1		حقیقت
1		کہیں
1		تلخ
1		اکثریت
2		جن
2		تعیناتی
1		جنہوں
3		کشمیریوں
1		حیات
1		تنگ
2		دیا
1		قدرت
1		قہر
1		نازل
2		رہا
6		بی
3		سی
2		رپورٹ
1		2001ء
1		تیرہ
4		اپنی
1		انکشاف
1		مرنے
1		نسبت
1		غلط
1		ہوگا
1		کشمیری
1		مجاہدین
1		تھوپ
1		دیتی
1		جہنم
1		واصل
1		وزیر
1		ذکر
5		کیا
3		طرح
1		روکنے
1		اٹھائے
1		گئے
1		مشاورت،
1		قیام
1		طعام
1		بہتری،
1		خانگی
1		رہائش
1		گاہ
1		فراہمی
1		تعطیلات
1		قوانین
1		مناسب
1		ردوبدل
